SR No,LRNo,LRDate,NoOfBox,Weight,InvoiceNumber,InvoiceDate,PartyName,CityName,District,State,Amount,TransportName,Remark
797,158078003,3/12/2025 18:57,2,9.2,DHL/24-25/15448,3/3/2025 15:58,LIMRA INSTRUMENTS,VASAI(EAST),PALGHAR,MAHARASHTRA,6242.2,GATI,Scheduled
798,158077976,3/12/2025 18:56,2,82.2,DHL/24-25/15780,3/12/2025 10:00,NITIRAJ SALES,SAGAR,SAGAR,Madhya Pradesh,21540.9,GATI,All others ODA
799,158078140,3/12/2025 18:54,38,91.2,DHL/24-25/15740,3/11/2025 13:48,NEW TECH SYSTEM,KANNUR,KANNUR,Kerala,70510.9,GATI,All others ODA
806,1000 2121 7785,3/12/2025 12:06,2,9.4,DHL/24-25/15573,3/7/2025 11:34,SANT SALES CORPORATION,SATNA,SATNA,Madhya Pradesh,6136,safexpress,All others ODA
812,77654850,3/11/2025 19:51,5,24,DHL/24-25/15683,3/10/2025 10:15,INNOVATIVE TELE SYSTEMS,GURGAON,GURGAON,Haryana,16048,TCI,All others ODA
815,274780236,3/11/2025 19:25,1,26.6,DHL/24-25/15763,3/11/2025 14:33,UNITED WEIGHING SCALES,THANE,THANE,MAHARASHTRA,9923.8,DELHIVERY,All others ODA
816,1.00E+11,3/11/2025 18:41,6,92.2,DHL/24-25/15736,3/11/2025 11:59,ANNAM WEIGHING SYSTEM & SERVICE,CHENNAI,CHENNAI,Tamil Nadu,53902.4,SAFEXPRESS,Scheduled
817,1.00E+11,3/11/2025 18:41,1,5.5,DHL/24-25/15554,3/7/2025 11:09,REED CAMB AND ALLIED PRODUCTS PVT LTD,KOLKATA,KOLKATA,West Bengal,7257,SAFEXPRESS,Scheduled
818,1.00E+11,3/11/2025 18:40,3,34.8,DHL/24-25/15724,3/11/2025 9:44,Maa Kali Enterprise,Agartala,West Tripura,Tripura,14921.1,SAFEXPRESS,All others ODA
819,1.00E+11,3/11/2025 18:39,2,56.3,DHL/24-25/15734,3/11/2025 11:39,SINHA SCIENTIFIC,KATWA-713130,BURDWAN,West Bengal,22715,SAFEXPRESS,Scheduled
820,1.00E+11,3/11/2025 18:38,2,10.8,DHL/24-25/15687,3/10/2025 10:20,MARUDHAR ENTERPRISES,JODHPUR,JODHPUR,Rajasthan,7174.4,SAFEXPRESS,Scheduled
821,1.00E+11,3/11/2025 18:38,10,178,DHL/24-25/15722,3/11/2025 9:41,MARUDHAR ENTERPRISES,JODHPUR,JODHPUR,Rajasthan,54634,SAFEXPRESS,Scheduled
822,1.00E+11,3/11/2025 18:36,3,13.8,DHL/24-25/15570,3/7/2025 11:31,NEW INDIA SCALES ENTERPRISES,NOIDA,GAUTAM BUDDHA NAGAR,Uttar Pradesh,9805.8,SAFEXPRESS,Scheduled
823,1.00E+11,3/11/2025 18:36,4,116,DHL/24-25/15704,3/11/2025 9:14,NEW INDIA SCALES ENTERPRISES,NOIDA,GAUTAM BUDDHA NAGAR,Uttar Pradesh,26078,SAFEXPRESS,Scheduled
824,1.00E+11,3/11/2025 18:34,1,8.1,DHL/24-25/15642,3/8/2025 10:18,S M ENTERPRISES,VISHAKHAPATNAM,VISHAKHAPATNAM,Andhra Pradesh,3840.9,SAFEXPRESS,Scheduled
825,1.00E+11,3/11/2025 18:34,2,9.4,DHL/24-25/15685,3/10/2025 10:17,S M ENTERPRISES,VISHAKHAPATNAM,VISHAKHAPATNAM,Andhra Pradesh,6313,SAFEXPRESS,Scheduled
